PN,nameNCU
0101HUH00-600-G,CCTC
0101HUJ00-600-G,CCTC
0101HUH00-600-G,Avary
0101HUJ00-600-G,Avary
0101HUH00-600-G,TRIPOD TECHNOLOGY
0101HUJ00-600-G,TRIPOD TECHNOLOGY
010305V00-600-G,COMPEQ MFG
010305W00-600-G,COMPEQ MFG
010305V00-600-G,YOUNG POONG
010305W00-600-G,YOUNG POONG
E02-SPW0690-AP,KNOWLES ACOUSTICS
082-0000-077,GORE
QV51105-CN31M-7H,FIT
WNS104Y-AC004-7H,FIT
QV51105-CN31M-7H,DDK (Fujikura)
075-0001-1307,I-PEX
WNS104Y-AC004-7H,AMPHENOL
075-0001-1294,LINKCONN ELECTRONICS
E01-D2508B0P0-AP,DIALOG SEMICONDUCTOR
E01-MAX40100ANT-AP,MAXIM
E01-MAX9027EWT-AP,MAXIM
E01-MAX98740-AP,MAXIM
E01-ATCPZ003UUDA-AP,ATMEL
155S00321,SONY
E01-TMIS65B0B1-AP,"TSMC,USA"
E01-TMIS65B0B2-AP,"TSMC,USA"
E01-BU52072GWZ-AP,ROHM CORP
E01-AS3441ZWLT-AP,AUSTRIA MICRO SYSTEMS
E01-BQ25120AYFP-AP,TEXAS INSTRUMENTS (TI)
E01-INA210CIDCK-AP,TEXAS INSTRUMENTS (TI)
E01-LP5907UV-AP,TEXAS INSTRUMENTS (TI)
E01-OPA330AIYFF-AP,TEXAS INSTRUMENTS (TI)
E01-TPS63050YFF-AP,TEXAS INSTRUMENTS (TI)
E01-TPS70933DRV-AP,TEXAS INSTRUMENTS (TI)
E08-2SA2154CT-AP,Toshiba America
E08-CSD68832L-AP,TEXAS INSTRUMENTS (TI)
E01-CAS24S128C4A-AP,ON SEMICONDUCTOR
E01-FPF2495CUCX-AP,ON SEMICONDUCTOR
E01-NCP161AFCT300-OS,ON SEMICONDUCTOR
E01-NCP161BFCT280-AP,ON SEMICONDUCTOR
E01-STM32L476MGY6-AP,ST MICROELECTRONICS
E08-EFC4626R-AP,ON SEMICONDUCTOR
E08-NTNS3190NZ-AP,ON SEMICONDUCTOR
E12-1BV2K-02S,ST MICROELECTRONICS
E12-ESD5101-AP,ON SEMICONDUCTOR
E12-ESD5111P-AP,ON SEMICONDUCTOR
E12-ESDA51BF4-AP,ST MICROELECTRONICS
E12-SESD5111P-AP,ON SEMICONDUCTOR
E01-AP25B2AAE-AP,ST MICROELECTRONICS
E01-VL62L0CBV2PA-AP,ST MICROELECTRONICS
E01-SIHLMHAX03-AP,HEPTAGON MICRO OPTICS PTE
E01-CBTL1610A3BUK-AP,NXP SEMICONDUCTOR
E15-32V768K-AP,EPSON
E01-82B0BAV-AP,SEIKO INSTRUMENTS
E01-82C0AAJ-AP,SEIKO INSTRUMENTS
E01-GD25LB128-AP,GIGADEVICE SEMICONDUCTOR
E01-AT25SL128A-AP,ADESTO TECHNOLOGIES
E01-BMA282-AP,BOSCH SENSOR TEC GMBH
E12-RB522ES-AP,ROHM CORP
E13-GDZT2R56-AP,ROHM CORP
E13-GDZT2R5V1-AP,ROHM CORP
E08-DMN2990UFZ-AP,DIODES INC
E08-DMN3730UFB4-AP,DIODES INC
E08-DMN62D0LFB-AP,DIODES INC
E08-DMN62D1LFB-AP,DIODES INC
E08-DMP210DUFB4-AP,DIODES INC
E08-DMP2541UCB9-AP,DIODES INC
E08-MMBT3904LP-AP,DIODES INC
E15-32V768K-AP,TXC Corporation
